DATE;DESCRIPTION;VALUE
20/05/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT;-81.25
20/05/2016;SCHOOL CANTEEN;-82.51
20/05/2016;SCHOOL CANTEEN;-91.30
23/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MAKRO ;-50.18
23/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-81.00
23/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-27.98
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-13.99
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-26.98
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-3.80
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-6.28
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-41.97
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 PRIMARK;-149.70
24/05/2016;PURCHASE CARD 1234XXXXXXXX5678 VORWERK;-16.00
25/05/2016;ATM 1234XXXXXXXX5678 01.02;-20.00
25/05/2016;ATM 1234XXXXXXXX5678 01.02;-220.00
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 20.05 HIGHWAY COMPANY;-3.90
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-25.97
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 CLOTHES SHOP;-55.45
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.00
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 LEFTIES;-45.47
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-6.51
25/05/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT LOPEZ;-5.50
25/05/2016;TRANSFER;-40.00
25/05/2016;TRANSFER;40.00
26/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-9.00
27/05/2016;ELECTRIC COMPANY ;-31.92
27/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-9.98
27/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-34.27
27/05/2016;TRANSFER;200.00
30/05/2016;ATM 1234XXXXXXXX5678 01.02;-40.00
30/05/2016;DEBIT PAYMENTS FINANCIAL AGENT;-27.83
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-6.00
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-15.78
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-5.50
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-23.70
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-87.89
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-12.25
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 NETFLIX;-7.99
30/05/2016;PURCHASE CARD 1234XXXXXXXX5678 PETROPRIX ;-41.34
31/05/2016;INSURANCE;-267.03
31/05/2016;PAYROLL;1,397.40
31/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-1.90
31/05/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
31/05/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-34.16
31/05/2016;TRANSFER;-544.00
31/05/2016;TRANSFER;2,500.00
01/06/2016;ATM 1234XXXXXXXX5678 01.02;-70.00
01/06/2016;DEBIT PAYMENTS INSURANCE COMPANY;-32.96
01/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
01/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-23.77
01/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-19.98
01/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-7.90
01/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-11.10
02/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
02/06/2016;PURCHASE CARD 1234XXXXXXXX5678 DECATHLON ;-72.94
02/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-8.57
02/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT JOGESHWAR;-40.00
03/06/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-55.66
03/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-51.47
03/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-16.27
03/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PARKING;-0.30
03/06/2016;TRANSFER;-860.00
06/06/2016;ELECTRIC COMPANY ;-33.49
06/06/2016;PHONE COMPANY;-14.00
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 01.06 HIGHWAY COMPANY;-3.35
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 03.07 CLOTHES COMPANY;-6.70
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-18.52
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-16.63
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-88.55
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-6.60
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 GAS STATION;-41.78
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET;-15.05
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;-69.76
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-26.84
06/06/2016;PURCHASE CARD 1234XXXXXXXX5678 TOY SHOP;-28.96
07/06/2016;ATM 1234XXXXXXXX5678 01.02;-60.00
07/06/2016;INSURANCE;-9.29
07/06/2016;INTEREST SETTLEMENT;4.37
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 AMAZON;-17.55
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 BAZAAR;-4.25
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-2.80
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 MERCADONA ;-37.03
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-48.82
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 PHARMACY;-21.14
07/06/2016;PURCHASE CARD 1234XXXXXXXX5678 RESTAURANT LOPEZ;-5.25
08/06/2016;CANCEL PURCHASE CARD 1234XXXXXXXX5678 MARKET JOGESHWAR ;8.34
08/06/2016;PURCHASE CARD 1234XXXXXXXX5678 03.06 HIGHWAY COMPANY;-3.35
08/06/2016;PURCHASE CARD 1234XXXXXXXX5678 COFFEE SHOP;-1.90
